PRODUCT_ID;NAME;VALUE;valueInt;valueFloat
562;Activation Cost;0,6566;0;0,6566
562;Structure Hitpoints;40;40;0
562;Powergrid Usage;4;4;0
562;CPU usage;8;0;8
562;Rate of fire;2000;2000;0
562;Optimal Range;1000;1000;0
562;Charges Per Cycle;1;1;0
562;Damage Modifier;1,8375;0;1,8375
562;Charge size;1;1;0
562;Accuracy falloff ;1500;0;1500
562;Turret Tracking;438;0;438
562;Primary Skill required;3301;3301;0
562;Secondary Skill required;3300;3300;0
562;Tech Level;1;1;0
562;Used with (Charge Group);85;85;0
562;Signature Resolution;40000;0;40000
562;Meta Level;0;0;0
562;Overload damage bonus;15;0;15
562;Heat Damage;0,6;0;0,6
562;Required Thermodynamics Level;1;1;0
562;Reload Time;5000;0;5000
563;Activation Cost;1,0927;0;1,0927
563;Structure Hitpoints;40;40;0
563;Powergrid Usage;7;7;0
563;CPU usage;12;0;12
563;Rate of fire;3000;3000;0
563;Optimal Range;1250;1250;0
563;Charges Per Cycle;1;1;0
563;Damage Modifier;2,95312;0;2,95312
563;Charge size;1;1;0
563;Accuracy falloff ;2000;0;2000
563;Turret Tracking;403,2;0;403,2
563;Primary Skill required;3301;3301;0
563;Secondary Skill required;3300;3300;0
563;Tech Level;1;1;0
563;Used with (Charge Group);85;85;0
563;Signature Resolution;40000;0;40000
563;Meta Level;0;0;0
563;Overload damage bonus;15;0;15
563;Heat Damage;0,8;0;0,8
563;Required Thermodynamics Level;1;1;0
563;Reload Time;5000;0;5000
564;Activation Cost;1,4161;0;1,4161
564;Structure Hitpoints;40;40;0
564;Powergrid Usage;8;0;8
564;CPU usage;16;0;16
564;Rate of fire;3500;3500;0
564;Optimal Range;1500;1500;0
564;Charges Per Cycle;1;1;0
564;Damage Modifier;3,675;0;3,675
564;Charge size;1;1;0
564;Accuracy falloff ;2500;0;2500
564;Turret Tracking;379,8;0;379,8
564;Primary Skill required;3301;3301;0
564;Secondary Skill required;3300;3300;0
564;Tech Level;1;1;0
564;Used with (Charge Group);85;85;0
564;Signature Resolution;40000;0;40000
564;Meta Level;0;0;0
564;Overload damage bonus;15;0;15
564;Heat Damage;0,8;0;0,8
564;Required Thermodynamics Level;1;1;0
564;Reload Time;5000;0;5000
566;Activation Cost;1,96;0;1,96
566;Structure Hitpoints;40;40;0
566;Powergrid Usage;88;0;88
566;CPU usage;24;0;24
566;Rate of fire;3000;3000;0
566;Optimal Range;2000;2000;0
566;Charges Per Cycle;1;1;0
566;Damage Modifier;1,8375;0;1,8375
566;Charge size;2;2;0
566;Accuracy falloff ;3000;0;3000
566;Turret Tracking;46,08;0;46,08
566;Primary Skill required;3304;3304;0
566;Secondary Skill required;3300;3300;0
566;Tech Level;1;1;0
566;Used with (Charge Group);85;85;0
566;Signature Resolution;40000;0;40000
566;Meta Level;0;0;0
566;Overload damage bonus;15;0;15
566;Heat Damage;0,5;0;0,5
566;Required Thermodynamics Level;1;1;0
566;Reload Time;5000;0;5000
568;Activation Cost;4,2483;0;4,2483
568;Structure Hitpoints;40;40;0
568;Powergrid Usage;179;0;179
568;CPU usage;29;0;29
568;Rate of fire;5250;5250;0
568;Optimal Range;3000;3000;0
568;Charges Per Cycle;1;1;0
568;Damage Modifier;3,675;0;3,675
568;Charge size;2;2;0
568;Accuracy falloff ;5000;0;5000
