ID;NAME;QUANTITY;PRICE
23783;'Abatis' 100mm Steel Plates;19;3399998,97
16297;'Accord' Core Compensation;9;24550,00
16319;'Aegis' Explosive Plating I;64;990000,00
22621;'Anguis' Ice Harvester Upgrade;0;225000000,00
22615;'Aoede' Mining Laser Upgrade;0;444988483,40
16519;'Arbalest' Cruise Launcher I;10;83899,92
8105;'Arbalest' Heavy Missile Launcher;40;1928999,95
33440;'Arbalest' Rapid Heavy Missile Launcher I;18;28999,99
16527;'Arbalest' Rocket Launcher I;0;346997,99
23844;'Arquebus' Heavy Beam Laser I;65;13474999,99
22875;'Aura' Warp Core Stabilizer I;53;59999999,93
24554;'Aurora Ominae' Thermal Doomsday;62;256989983,00
23785;'Bailey' 1600mm Steel Plates;0;98500000,00
20593;'Balefire' Rocket Launcher;60;1150996,00
23850;'Ballista' Tachyon Beam Laser I;53;85000000,00
23793;'Barbican' 800mm Steel Plates;35;38493988,00
20603;'Barrage' Torpedo Launcher;31;35000000,00
509;'Basic' Capacitor Flux Coil;0;7499997,96
506;'Basic' Capacitor Power Relay;54;2889999,00
421;'Basic' Capacitor Recharger;35;2900000,00
521;'Basic' Damage Control;0;5000000,00
1315;'Basic' Expanded Cargohold;0;750051,51
518;'Basic' Gyrostabilizer;0;2999998,99
1893;'Basic' Heat Sink;66;4487999,95
1401;'Basic' Inertial Stabilizers;27;7399999,80
10188;'Basic' Magnetic Field Stabilizer;2;6500000,00
1242;'Basic' Nanofiber Internal Structure;0;999999,97
1192;'Basic' Overdrive Injector System;36;589999,99
1537;'Basic' Power Diagnostic System;0;1399999,99
1240;'Basic' Reinforced Bulkheads;38;3980000,00
508;'Basic' Shield Flux Coil;40;3444444,00
1419;'Basic' Shield Power Relay;23;1579996,96
1949;'Basic' Signal Amplifier;2;34000,00
1951;'Basic' Tracking Enhancer;0;1493507,98
23789;'Bastion' 400mm Steel Plates;0;36999994,88
22947;'Beatnik' Small Remote Armor Repairer;0;8300000,00
22925;'Bootleg' Remote Sensor Booster;0;7971878,96
20609;'Cactus' Modified Kinetic Deflection Amplifier;7;7899997,00
22613;'Carpo' Mining Laser Upgrade;13;109899999,00
22953;'Cartel' Power Diagnostic System I;0;42000000,00
23848;'Catapult' Mega Beam Laser I;0;49901941,78
23803;'Censer' Medium Cap Battery;0;51995994,88
23787;'Chainmail' 200mm Steel Plates;0;0,00
23856;'Chivalry' Large Remote Capacitor Transmitter;0;63999999,99
23791;'Citadella' 100mm Steel Plates;42;29296,70
16309;'Collateral' Adaptive Nano Plating I;0;9974,00
16333;'Contour' EM Plating I;0;3403,00
16535;'Copasetic' Particle Field Acceleration;19;13499949,86
22899;'Corporate' Light Electron Blaster I;34;4499898,99
25540;'Crop' Gas Cloud Harvester;0;42011111,08
23840;'Crossbow' Focused Medium Beam Laser I;33;8999996,99
23801;'Crucible' Small Cap Battery;0;23798998,00
22901;'Dealer' Light Ion Blaster I;12;3999999,00
21512;'Delineative' Warp Scrambler;0;33999998,00
20635;'Desert Heat' Thermal Dissipation Field;65;8685877,00
20569;'Deuce' Co-Processor I;34;17749896,00
22931;'Distributor' Guidance Disruptor;31;30999999,98
20567;'Dyad' Co-Processor I;29;9855544,99
16327;'Element' Kinetic Plating I;0;2873,00
22937;'Enterprise' Remote Tracking Computer;0;19699548,97
22945;'Executive' Remote Sensor Dampener;7;68095994,75
22913;'Felon' Ion Blaster Cannon I;1;52919989,71
21527;'Firewall' Signal Amplifier;14;9900000,00
21484;'Full Duplex' Ballistic Control System;0;97495993,98
20595;'Gallows' Light Missile Launcher;0;22000000,00
20575;'Gambler' Ladar ECM;25;10399899,98
23838;'Gauntlet' Small Focused Beam Laser I;8;10999998,98
20581;'Ghost' Burst Jammer;56;44852999,98
23674;'Gjallarhorn' Explosive Doomsday;5;301390000,00
20613;'Glycerine' Shield Boost Amplifier;0;16989989,89
23795;'Gorget' Small Armor Repairer I;0;7300000,00
16351;'Grail' Layered Plating I;0;18000,00
23797;'Greaves' Medium Armor Repairer I;64;31987999,84
23846;'Halberd' Mega Pulse Laser I;0;48995995,00
16303;'Halcyon' Core Equalizer I;0;261775,00
22887;'Harmony' Small Armor Repairer I;0;0,00
23809;'Harness' Medium Capacitor Booster I;0;27000000,00
23799;'Hauberk' Large Armor Repairer I;0;54894973,95
20579;'Heist' Radar ECM;20;15000000,00
20607;'High Noon' Thermal Dissipation Amplifier;5;10702003,09
22907;'Hooligan' Heavy Ion Blaster I;0;5990999,00
22909;'Hustler' Heavy Neutron Blaster I;30;12900000,00
25565;'Hypnos' Signal Distortion Amplifier I;0;89997,95
21540;'Inception' Target Painter;13;54999996,99
22623;'Ingenii' Ice Harvester Upgrade;28;838990000,00
21510;'Interruptive' Warp Disruptor;0;41999998,99
22933;'Investor' Tracking Disruptor I;0;64999999,07
23842;'Joust' Heavy Pulse Laser I;0;29999999,00
24550;'Judgment' Electromagnetic Doomsday;0;281999995,00
21486;'Kindred' Gyrostabilizer;0;39498999,99
